"dgp_id","n","OLS-FP","MLE-FP","PMM-FP","Huber-FP","GMM-FP"
"Beta25",50,"94.100","92.400","90.500","93.800","46.519"
"Beta25",100,"93.900","93.100","92.300","94.200","45.203"
"Beta25",200,"94.700","94.300","93.400","94.100","48.687"
"Beta25",500,"93.400","93.200","92.800","93.600","45.800"
"Beta25",1000,"90.800","90.500","90.700","90.500","44.600"
"Exp1",50,"94.300","92.900","88.800","91.700","90.554"
"Exp1",100,"94.500","93.400","90.300","93.400","92.437"
"Exp1",200,"94.000","93.500","91.400","91.300","93.973"
"Exp1",500,"94.400","94.300","92.600","93.300","93.467"
"Exp1",1000,"96.400","96.200","95.100","95.400","95.600"
"Gamma3",50,"94.300","92.600","90.900","94.000","86.317"
"Gamma3",100,"94.700","94.200","93.100","94.400","90.041"
"Gamma3",200,"94.900","94.600","93.500","94.600","91.650"
"Gamma3",500,"96.100","96.000","94.300","94.900","94.271"
"Gamma3",1000,"94.800","94.800","94.500","95.200","94.300"
"Gauss",50,"95.300","92.300","91.100","94.500","88.176"
"Gauss",100,"94.300","93.300","92.900","95.000","90.500"
"Gauss",200,"94.700","94.400","94.300","95.100","93.000"
"Gauss",500,"95.700","95.600","95.000","96.000","93.400"
"Gauss",1000,"94.700","94.600","94.200","94.600","93.300"
"LogN",50,"94.700","93.000","89.400","90.481","90.899"
"LogN",100,"94.200","93.800","91.400","91.700","92.701"
"LogN",200,"95.400","94.900","92.700","94.500","94.512"
"LogN",500,"95.800","95.700","94.100","94.300","93.894"
"LogN",1000,"94.000","93.800","94.300","94.000","95.200"
